GH,Ghana
IN,India
Afg,Afghanistan
Alb,Albania
Alg,Algeria
And,Andorra
Ang,Angola
Anu,Anguilla
An&Ba,Antigua and Barbuda
Ar,Argentina
Arm,Armenia
Aru,Aruba
Au,Australia
Aust,Austria
Az,Azerbaijan
Bh,Bahamas
Ba,Bahrain
Ban,Bangladesh
Bar,Barbados
Bel,Belarus
Belg,Belgium
Be,Belize
Ben,Benin
Ber,Bermuda
Bhu,Bhutan
Bol,Bolivia
Bos&Her,Bosnia and Herzegovina
Bot,Botswana
Bz,Brazil
BV,British Virgin Islands
Br,Brunei
Bul,Bulgaria
Burk,Burkina Faso
Burm,Burma
Buru,Burundi
Cam,Cambodia
Came,Cameroon
Cape,Cape Verde
CayIs,Cayman Islands
Cap,Central African Republic
Ch,Chad
Chi,Chile
Chin,China
Cb,Colombia
Cdr,"Congo, Democratic Republic of the"
Cr,"Congo, Republic of the"
CoR,Costa Rica
Cd,C̫te d'Ivoire
Cro,Croatia
Cu,Cuba
Cyp,Cyprus
Czr,Czech Republic
Den,Denmark
Dji,Djibouti
Dom,Dominica
DomR,Dominican Republic
Ecu,Ecuador
Eg,Egypt
El,El Salvador
EqG,Equatorial Guinea
Erit,Eritrea
Esto,Estonia
Ethi,Ethiopia
Fiji,Fiji
Finl,Finland
Fran,France
FrG,French Guiana
Gabo,Gabon
Gamb,Gambia
Geor,Georgia
Germ,Germany
Gree,Greece
Gren,Grenada
Guad,Guadeloupe
Guat,Guatemala
Guin,Guinea
Guya,Guyana
Hait,Haiti
Hond,Honduras
HoK,Hong Kong
Hung,Hungary
Icel,Iceland
Indo,Indonesia
Iran,Iran
Iraq,Iraq
Irel,Ireland
Isra,Israel
Ital,Italy
Jama,Jamaica
Japa,Japan
Jord,Jordan
Kaza,Kazakhstan
Keny,Kenya
Koso,Kosovo
Kuwa,Kuwait
Kyrg,Kyrgyzstan
Laos,Laos
Latv,Latvia
Leba,Lebanon
Leso,Lesotho
Libe,Liberia
Liby,Libya
Liec,Liechtenstein
Lith,Lithuania
Luxe,Luxembourg
Maca,Macau
Mada,Madagascar
Mal,Malawi
Mala,Malaysia
Mald,Maldives
Mali,Mali
Malt,Malta
Mart,Martinique
Mau,Mauritania
Maur,Mauritius
Mexi,Mexico
Mold,Moldova
Mong,Mongolia
Mont,Montenegro
Monts,Montserrat
Moro,Morocco
Moza,Mozambique
Myan,Myanmar
Nami,Namibia
Nepa,Nepal
Neth,Netherlands
NeZ,New Zealand
Nica,Nicaragua
Nige,Niger
Niger,Nigeria
NoM,North Macedonia
Norw,Norway
Oman,Oman
Paki,Pakistan
Pale,Palestine
Pana,Panama
Papu,Papua New Guinea
Para,Paraguay
Peru,Peru
Phil,Philippines
Pola,Poland
Port,Portugal
Qata,Qatar
Reun,Reunion
Roma,Romania
Russ,Russia
Rwan,Rwanda
Samo,Samoa
SaA,Saudi Arabia
Scot,Scotland
Sene,Senegal
Serb,Serbia
SiL,Sierra Leone
Sing,Singapore
SlR,Slovak Republic
Slov,Slovenia
Soma,Somalia
SoA,South Africa
SoK,South Korea
Spai,Spain
SrL,Sri Lanka
St. ,St. Kitts and Nevis
StL,St. Lucia
St.V,St. Vincent and The Grenadines
Suda,Sudan
Swaz,Swaziland
Swed,Sweden
Swit,Switzerland
Syri,Syria
Taiw,Taiwan
Taji,Tajikistan
Tanz,Tanzania
Thai,Thailand
Togo,Togo
Tong,Tonga
Trin,Trinidad and Tobago
Tuni,Tunisia
Turk,Turkiye
Turkmen,Turkmenistan
TurkCai,Turks and Caicos Islands
Ugan,Uganda
Ukra,Ukraine
Unit,United Arab Emirates
UnK,United Kingdom
UnS,United States
Urug,Uruguay
Uzbe,Uzbekistan
VaC,Vatican City
Vene,Venezuela
Viet,Vietnam
Yeme,Yemen
Yugo,Yugoslavia
Zamb,Zambia
Zimb,Zimbabwe
